counts_1_3,counts_2_3,counts_1_2,timestamp
21, 14, 19, Thu Jan 19 20:22:53 2023
9, 10, 12, Thu Jan 19 20:23:53 2023
10, 11, 16, Thu Jan 19 20:24:53 2023
15, 12, 17, Thu Jan 19 20:25:53 2023
10, 8, 12, Thu Jan 19 20:26:53 2023
16, 9, 14, Thu Jan 19 20:27:53 2023
9, 12, 13, Thu Jan 19 20:28:53 2023
17, 16, 21, Thu Jan 19 20:29:53 2023
14, 7, 10, Thu Jan 19 20:30:53 2023
7, 8, 15, Thu Jan 19 20:31:53 2023
22, 16, 23, Thu Jan 19 20:32:53 2023
21, 14, 17, Thu Jan 19 20:33:53 2023
11, 13, 17, Thu Jan 19 20:34:53 2023
17, 13, 16, Thu Jan 19 20:35:53 2023
14, 14, 14, Thu Jan 19 20:36:53 2023
22, 11, 23, Thu Jan 19 20:37:53 2023
18, 13, 18, Thu Jan 19 20:38:53 2023
14, 15, 16, Thu Jan 19 20:39:53 2023
12, 15, 18, Thu Jan 19 20:40:53 2023
11, 14, 15, Thu Jan 19 20:41:53 2023
22, 18, 27, Thu Jan 19 20:42:53 2023
14, 14, 18, Thu Jan 19 20:43:53 2023
8, 8, 14, Thu Jan 19 20:44:53 2023
18, 17, 15, Thu Jan 19 20:45:53 2023
13, 12, 14, Thu Jan 19 20:46:53 2023
16, 14, 22, Thu Jan 19 20:47:53 2023
22, 14, 17, Thu Jan 19 20:48:53 2023
15, 13, 17, Thu Jan 19 20:49:53 2023
15, 14, 10, Thu Jan 19 20:50:53 2023
19, 17, 14, Thu Jan 19 20:53:53 2023
15, 10, 16, Thu Jan 19 20:54:53 2023
22, 15, 20, Thu Jan 19 20:55:53 2023
13, 12, 16, Thu Jan 19 20:56:53 2023
12, 13, 7, Thu Jan 19 20:57:53 2023
17, 9, 12, Thu Jan 19 20:58:53 2023
22, 20, 22, Thu Jan 19 20:59:53 2023
20, 21, 21, Thu Jan 19 21:00:53 2023
15, 11, 16, Thu Jan 19 21:01:53 2023
18, 19, 21, Thu Jan 19 21:02:53 2023
16, 10, 13, Thu Jan 19 21:03:53 2023
15, 11, 10, Thu Jan 19 21:04:53 2023
15, 13, 13, Thu Jan 19 21:05:53 2023
23, 22, 26, Thu Jan 19 21:06:53 2023
20, 16, 24, Thu Jan 19 21:07:53 2023
26, 17, 24, Thu Jan 19 21:08:53 2023
10, 5, 16, Thu Jan 19 21:09:53 2023
21, 16, 26, Thu Jan 19 21:10:53 2023
21, 18, 22, Thu Jan 19 21:11:53 2023
19, 16, 16, Thu Jan 19 21:12:53 2023
7, 8, 15, Thu Jan 19 21:13:53 2023
19, 16, 20, Thu Jan 19 21:14:53 2023
13, 15, 18, Thu Jan 19 21:15:53 2023
14, 8, 16, Thu Jan 19 21:16:53 2023
14, 18, 20, Thu Jan 19 21:17:53 2023
11, 14, 13, Thu Jan 19 21:18:53 2023
20, 12, 12, Thu Jan 19 21:19:53 2023
18, 19, 24, Thu Jan 19 21:20:53 2023
14, 8, 12, Thu Jan 19 21:21:53 2023
11, 9, 13, Thu Jan 19 21:22:53 2023
10, 11, 12, Thu Jan 19 21:25:53 2023
16, 15, 15, Thu Jan 19 21:26:53 2023
16, 14, 16, Thu Jan 19 21:27:53 2023
