Date,Simple_Date,Outdoor_Temperature,Wind_Speed,Wind_Gust,Max_Daily_Gust,Wind_Direction,Hourly_Rain_(in/hr),Event_Rain,Daily_Rain,Weekly_Rain,Monthly_Rain,Yearly_Rain,Relative_Pressure_(inHg),Humidity_(%),Ultra-Violet_Radiation_Index,Solar_Radiation_(W/m^2),Avg_Wind_Direction,Absolute_Pressure_(inHg)
2024-02-15T13:25:00-05:00,2024-02-15 13:25:00,64.4,2.9,3.4,6.9,208,0,0,0,3.11,3.72,77.51,30.06,31,2,305.6,29.1,1
2024-02-15T13:20:00-05:00,2024-02-15 13:20:00,64,1.6,2.2,6.9,236,0,0,0,3.11,3.72,77.51,30.07,30,0,85.7,29.1,1
2024-02-15T13:15:00-05:00,2024-02-15 13:15:00,64,2.7,3.4,6.9,243,0,0,0,3.11,3.72,77.51,30.08,31,1,113.7,29.11,1
2024-02-15T13:10:00-05:00,2024-02-15 13:10:00,64,3.1,3.4,6.9,241,0,0,0,3.11,3.72,77.51,30.09,31,1,150.4,29.13,1
2024-02-15T13:05:00-05:00,2024-02-15 13:05:00,63.1,1.3,2.2,6.9,231,0,0,0,3.11,3.72,77.51,30.09,31,1,190.6,29.12,1
2024-02-15T13:00:00-05:00,2024-02-15 13:00:00,63.1,4.3,5.8,6.9,241,0,0,0,3.11,3.72,77.51,30.09,31,2,235.5,29.12,1
2024-02-15T12:55:00-05:00,2024-02-15 12:55:00,63.1,2.2,2.2,6.9,235,0,0,0,3.11,3.72,77.51,30.1,33,0,92.9,29.13,1
2024-02-15T12:50:00-05:00,2024-02-15 12:50:00,63.1,1.3,2.2,6.9,233,0,0,0,3.11,3.72,77.51,30.09,36,0,87,29.13,1
2024-02-15T12:45:00-05:00,2024-02-15 12:45:00,62.4,2.2,3.4,6.9,237,0,0,0,3.11,3.72,77.51,30.1,36,1,141.9,29.14,1
2024-02-15T12:40:00-05:00,2024-02-15 12:40:00,62.4,0.7,1.1,6.9,228,0,0,0,3.11,3.72,77.51,30.1,36,0,92.9,29.14,1
2024-02-15T12:35:00-05:00,2024-02-15 12:35:00,62.1,0.9,1.1,6.9,193,0,0,0,3.11,3.72,77.51,30.1,37,2,269.4,29.14,1
2024-02-15T12:30:00-05:00,2024-02-15 12:30:00,61.9,1.1,2.2,6.9,216,0,0,0,3.11,3.72,77.51,30.11,36,1,188.9,29.14,1
2024-02-15T12:25:00-05:00,2024-02-15 12:25:00,61.5,2,3.4,6.9,243,0,0,0,3.11,3.72,77.51,30.11,36,2,255,29.14,1
2024-02-15T12:20:00-05:00,2024-02-15 12:20:00,61.7,2.2,3.4,6.9,209,0,0,0,3.11,3.72,77.51,30.11,37,3,348.9,29.14,1
