"Date","Simple_Date","Outdoor_Temperature","Wind_Speed","Wind_Gust","Max_Daily_Gust","Wind_Direction","Hourly_Rain","Event_Rain","Daily_Rain","Weekly_Rain","Monthly_Rain","Total_Rain","Relative_Pressure_(inHg)","Humidity_(%)","Ultra-Violet_Radiation_Index","Solar_Radiation_(W/m^2)","Absolute_Pressure","CO2_battery"
2024-02-07T16:15:00-05:00,2024-02-07 16:15:00,59.4,0.7,1.1,8.1,172,0,0,0,0.58,0.58,74.37,30.13,34,0,47.5,29.16,1
2024-02-07T16:10:00-05:00,2024-02-07 16:10:00,59.9,0,0,8.1,195,0,0,0,0.58,0.58,74.37,30.13,34,0,62.8,29.16,1
2024-02-07T16:05:00-05:00,2024-02-07 16:05:00,60.3,0,0,8.1,184,0,0,0,0.58,0.58,74.37,30.13,32,0,81.3,29.17,1
2024-02-07T16:00:00-05:00,2024-02-07 16:00:00,60.1,0,0,8.1,200,0,0,0,0.58,0.58,74.37,30.12,33,0,95.3,29.16,1
2024-02-07T15:55:00-05:00,2024-02-07 15:55:00,60.8,0,0,8.1,186,0,0,0,0.58,0.58,74.37,30.12,31,1,108.6,29.16,1
2024-02-07T15:50:00-05:00,2024-02-07 15:50:00,59.9,0.2,1.1,8.1,190,0,0,0,0.58,0.58,74.37,30.12,31,1,114.7,29.16,1
2024-02-07T15:45:00-05:00,2024-02-07 15:45:00,60.1,1.1,2.2,8.1,182,0,0,0,0.58,0.58,74.37,30.12,32,1,137.7,29.16,1
2024-02-07T15:40:00-05:00,2024-02-07 15:40:00,60.4,1.1,1.1,8.1,190,0,0,0,0.58,0.58,74.37,30.13,32,1,195.7,29.16,1
2024-02-07T15:35:00-05:00,2024-02-07 15:35:00,59.4,0,0,8.1,190,0,0,0,0.58,0.58,74.37,30.12,32,1,114.4,29.16,1
2024-02-07T15:30:00-05:00,2024-02-07 15:30:00,58.1,1.1,2.2,8.1,174,0,0,0,0.58,0.58,74.37,30.12,33,0,76.6,29.15,1
2024-02-07T15:25:00-05:00,2024-02-07 15:25:00,59.4,1.3,2.2,8.1,199,0,0,0,0.58,0.58,74.37,30.12,31,0,73.7,29.16,1
2024-02-07T15:20:00-05:00,2024-02-07 15:20:00,58.8,0,0,8.1,216,0,0,0,0.58,0.58,74.37,30.12,34,0,69.3,29.16,1
2024-02-07T15:15:00-05:00,2024-02-07 15:15:00,57.4,0.7,1.1,8.1,155,0,0,0,0.58,0.58,74.37,30.12,33,2,208,29.16,1
2024-02-07T15:10:00-05:00,2024-02-07 15:10:00,56.7,1.1,1.1,8.1,14,0,0,0,0.58,0.58,74.37,30.12,33,2,208.5,29.16,1
2024-02-07T15:05:00-05:00,2024-02-07 15:05:00,58.5,0.9,1.1,8.1,133,0,0,0,0.58,0.58,74.37,30.12,33,2,235.3,29.16,1
2024-02-07T15:00:00-05:00,2024-02-07 15:00:00,56.5,0,0,8.1,322,0,0,0,0.58,0.58,74.37,30.12,34,0,102.4,29.16,1
2024-02-07T14:55:00-05:00,2024-02-07 14:55:00,57.7,1.3,2.2,8.1,149,0,0,0,0.58,0.58,74.37,30.13,32,1,177.2,29.16,1
2024-02-07T14:50:00-05:00,2024-02-07 14:50:00,57.6,1.1,1.1,8.1,176,0,0,0,0.58,0.58,74.37,30.12,32,1,135.9,29.16,1
2024-02-07T14:45:00-05:00,2024-02-07 14:45:00,56.1,0,0,8.1,267,0,0,0,0.58,0.58,74.37,30.12,35,2,256.1,29.16,1
2024-02-07T14:40:00-05:00,2024-02-07 14:40:00,56.1,0,0,8.1,164,0,0,0,0.58,0.58,74.37,30.12,33,0,95.6,29.16,1
2024-02-07T14:35:00-05:00,2024-02-07 14:35:00,56.1,0.7,1.1,8.1,153,0,0,0,0.58,0.58,74.37,30.12,33,1,102.9,29.16,1
2024-02-07T14:30:00-05:00,2024-02-07 14:30:00,56.5,0,0,8.1,206,0,0,0,0.58,0.58,74.37,30.12,36,0,80.7,29.16,1
2024-02-07T14:25:00-05:00,2024-02-07 14:25:00,55.6,0,0,8.1,303,0,0,0,0.58,0.58,74.37,30.13,34,0,100.9,29.16,1
2024-02-07T14:20:00-05:00,2024-02-07 14:20:00,55.6,0.9,1.1,8.1,191,0,0,0,0.58,0.58,74.37,30.13,34,1,143,29.16,1
2024-02-07T14:15:00-05:00,2024-02-07 14:15:00,54.7,1.1,1.1,8.1,234,0,0,0,0.58,0.58,74.37,30.13,35,1,114.6,29.16,1
2024-02-07T14:10:00-05:00,2024-02-07 14:10:00,55.4,2,2.2,8.1,158,0,0,0,0.58,0.58,74.37,30.13,33,2,205.7,29.16,1
2024-02-07T14:05:00-05:00,2024-02-07 14:05:00,55.6,0.7,1.1,8.1,188,0,0,0,0.58,0.58,74.37,30.14,35,1,137.2,29.17,1
2024-02-07T14:00:00-05:00,2024-02-07 14:00:00,54.7,0,0,8.1,181,0,0,0,0.58,0.58,74.37,30.13,36,2,252.3,29.16,1
2024-02-07T13:55:00-05:00,2024-02-07 13:55:00,54.1,0,0,8.1,185,0,0,0,0.58,0.58,74.37,30.13,36,0,39.3,29.17,1
2024-02-07T13:50:00-05:00,2024-02-07 13:50:00,55.9,0,0,8.1,216,0,0,0,0.58,0.58,74.37,30.13,34,1,173.5,29.17,1
2024-02-07T13:46:00-05:00,2024-02-07 13:46:00,55,0.7,1.1,8.1,241,0,0,0,0.58,0.58,74.37,30.14,35,2,245.7,29.17,1
2024-02-07T13:40:00-05:00,2024-02-07 13:40:00,55.6,0,0,8.1,170,0,0,0,0.58,0.58,74.37,30.14,34,0,42.6,29.17,1
2024-02-07T13:35:00-05:00,2024-02-07 13:35:00,55.2,0,0,8.1,183,0,0,0,0.58,0.58,74.37,30.14,36,2,211.5,29.17,1
2024-02-07T13:30:00-05:00,2024-02-07 13:30:00,54.3,0,0,8.1,211,0,0,0,0.58,0.58,74.37,30.14,36,2,218.5,29.18,1
2024-02-07T13:26:00-05:00,2024-02-07 13:26:00,54.5,0,0,8.1,192,0,0,0,0.58,0.58,74.37,30.14,36,1,196.2,29.17,1
2024-02-07T13:20:00-05:00,2024-02-07 13:20:00,54,0.2,1.1,8.1,167,0,0,0,0.58,0.58,74.37,30.14,36,3,334.1,29.17,1
2024-02-07T13:15:00-05:00,2024-02-07 13:15:00,53.4,0,0,8.1,208,0,0,0,0.58,0.58,74.37,30.14,38,2,276.4,29.18,1
2024-02-07T13:10:00-05:00,2024-02-07 13:10:00,53.2,0,0,8.1,179,0,0,0,0.58,0.58,74.37,30.14,39,2,217.7,29.18,1
2024-02-07T13:06:00-05:00,2024-02-07 13:06:00,51.4,0.9,2.2,8.1,63,0,0,0,0.58,0.58,74.37,30.14,39,0,95.6,29.18,1
2024-02-07T13:00:00-05:00,2024-02-07 13:00:00,51.4,0.7,1.1,8.1,36,0,0,0,0.58,0.58,74.37,30.15,38,1,170.7,29.19,1
2024-02-07T12:55:00-05:00,2024-02-07 12:55:00,53.6,0.9,1.1,8.1,167,0,0,0,0.58,0.58,74.37,30.16,37,0,64.2,29.19,1
2024-02-07T12:50:00-05:00,2024-02-07 12:50:00,51.8,0.9,1.1,8.1,33,0,0,0,0.58,0.58,74.37,30.15,40,0,101.9,29.19,1
2024-02-07T12:46:00-05:00,2024-02-07 12:46:00,52.7,0,0,8.1,174,0,0,0,0.58,0.58,74.37,30.16,37,2,244.5,29.19,1
2024-02-07T12:40:00-05:00,2024-02-07 12:40:00,52.9,0.2,1.1,8.1,186,0,0,0,0.58,0.58,74.37,30.16,37,2,285.8,29.2,1
2024-02-07T12:35:00-05:00,2024-02-07 12:35:00,52,0,0,8.1,192,0,0,0,0.58,0.58,74.37,30.16,39,1,174.7,29.2,1
2024-02-07T12:30:00-05:00,2024-02-07 12:30:00,52.7,0,0,8.1,189,0,0,0,0.58,0.58,74.37,30.17,38,1,131.2,29.2,1
2024-02-07T12:26:00-05:00,2024-02-07 12:26:00,51.6,0.2,1.1,8.1,175,0,0,0,0.58,0.58,74.37,30.16,38,2,249.9,29.2,1
2024-02-07T12:20:00-05:00,2024-02-07 12:20:00,53.1,0,0,8.1,192,0,0,0,0.58,0.58,74.37,30.17,38,2,239.3,29.2,1
2024-02-07T12:15:00-05:00,2024-02-07 12:15:00,52.2,0.7,1.1,8.1,188,0,0,0,0.58,0.58,74.37,30.17,37,2,289.7,29.21,1
2024-02-07T12:10:00-05:00,2024-02-07 12:10:00,52.3,0.7,1.1,8.1,183,0,0,0,0.58,0.58,74.37,30.17,37,2,275.5,29.2,1
2024-02-07T12:06:00-05:00,2024-02-07 12:06:00,51.1,0.7,1.1,8.1,193,0,0,0,0.58,0.58,74.37,30.18,41,4,439.7,29.21,1
2024-02-07T12:00:00-05:00,2024-02-07 12:00:00,50,0.2,1.1,8.1,187,0,0,0,0.58,0.58,74.37,30.18,40,4,435.8,29.21,1
2024-02-07T11:55:00-05:00,2024-02-07 11:55:00,51.8,0.2,1.1,8.1,198,0,0,0,0.58,0.58,74.37,30.18,38,4,424.2,29.22,1
2024-02-07T11:50:00-05:00,2024-02-07 11:50:00,51.3,0.2,1.1,8.1,169,0,0,0,0.58,0.58,74.37,30.19,38,3,394.3,29.22,1
2024-02-07T11:46:00-05:00,2024-02-07 11:46:00,51.1,0.7,1.1,8.1,174,0,0,0,0.58,0.58,74.37,30.18,39,3,398.7,29.21,1
2024-02-07T11:40:00-05:00,2024-02-07 11:40:00,51.1,0,0,8.1,192,0,0,0,0.58,0.58,74.37,30.18,39,3,388.8,29.22,1
2024-02-07T11:35:00-05:00,2024-02-07 11:35:00,50.5,0,0,8.1,213,0,0,0,0.58,0.58,74.37,30.19,40,3,410.2,29.22,1
2024-02-07T11:30:00-05:00,2024-02-07 11:30:00,48.4,0.7,1.1,8.1,72,0,0,0,0.58,0.58,74.37,30.19,42,3,406.1,29.22,1
2024-02-07T11:26:00-05:00,2024-02-07 11:26:00,48.9,0.4,1.1,8.1,187,0,0,0,0.58,0.58,74.37,30.19,42,3,401.5,29.23,1
2024-02-07T11:20:00-05:00,2024-02-07 11:20:00,48.2,0.7,1.1,8.1,160,0,0,0,0.58,0.58,74.37,30.19,42,3,391.2,29.22,1
2024-02-07T11:15:00-05:00,2024-02-07 11:15:00,48.4,2.2,2.2,8.1,1,0,0,0,0.58,0.58,74.37,30.2,42,3,309.4,29.23,1
2024-02-07T11:10:00-05:00,2024-02-07 11:10:00,47.7,0.2,1.1,8.1,197,0,0,0,0.58,0.58,74.37,30.2,43,3,336.2,29.23,1
2024-02-07T11:06:00-05:00,2024-02-07 11:06:00,47.8,0.2,1.1,8.1,159,0,0,0,0.58,0.58,74.37,30.2,43,1,202.9,29.23,1
2024-02-07T11:00:00-05:00,2024-02-07 11:00:00,46.8,1.3,2.2,8.1,131,0,0,0,0.58,0.58,74.37,30.19,44,1,148.6,29.23,1
2024-02-07T10:55:00-05:00,2024-02-07 10:55:00,47.1,2.7,3.4,8.1,101,0,0,0,0.58,0.58,74.37,30.2,43,0,36.3,29.23,1
2024-02-07T10:50:00-05:00,2024-02-07 10:50:00,46,0,0,8.1,167,0,0,0,0.58,0.58,74.37,30.2,45,1,153,29.23,1
2024-02-07T10:46:00-05:00,2024-02-07 10:46:00,46,2.2,3.4,8.1,54,0,0,0,0.58,0.58,74.37,30.2,45,2,259.4,29.23,1
2024-02-07T10:40:00-05:00,2024-02-07 10:40:00,45.5,1.6,2.2,8.1,21,0,0,0,0.58,0.58,74.37,30.2,46,1,109.2,29.23,1
2024-02-07T10:38:00-05:00,2024-02-07 10:38:00,46,2.9,4.5,8.1,20,0,0,0,0.58,0.58,74.37,30.2,45,0,64.8,29.23,1
2024-02-07T10:30:00-05:00,2024-02-07 10:30:00,45.1,2.2,3.4,8.1,11,0,0,0,0.58,0.58,74.37,30.2,45,1,147.1,29.23,1
2024-02-07T10:26:00-05:00,2024-02-07 10:26:00,45.7,1.3,2.2,8.1,85,0,0,0,0.58,0.58,74.37,30.2,46,0,54.1,29.23,1
2024-02-07T10:20:00-05:00,2024-02-07 10:20:00,45.9,1.3,2.2,8.1,128,0,0,0,0.58,0.58,74.37,30.2,45,0,64.7,29.23,1
2024-02-07T10:15:00-05:00,2024-02-07 10:15:00,45.7,1.8,2.2,8.1,119,0,0,0,0.58,0.58,74.37,30.2,45,1,175.9,29.23,1
2024-02-07T10:10:00-05:00,2024-02-07 10:10:00,45.3,1.1,2.2,8.1,183,0,0,0,0.58,0.58,74.37,30.2,46,2,225.6,29.24,1
2024-02-07T10:06:00-05:00,2024-02-07 10:06:00,45.1,1.3,2.2,8.1,78,0,0,0,0.58,0.58,74.37,30.19,46,0,33.3,29.23,1
2024-02-07T10:00:00-05:00,2024-02-07 10:00:00,45.9,2,2.2,8.1,144,0,0,0,0.58,0.58,74.37,30.2,46,0,49.6,29.23,1
2024-02-07T09:55:00-05:00,2024-02-07 09:55:00,45.1,0.9,2.2,8.1,105,0,0,0,0.58,0.58,74.37,30.2,46,1,155.6,29.23,1
2024-02-07T09:50:00-05:00,2024-02-07 09:50:00,45,2,3.4,8.1,90,0,0,0,0.58,0.58,74.37,30.19,47,0,29.6,29.22,1
2024-02-07T09:46:00-05:00,2024-02-07 09:46:00,44.6,0.4,1.1,8.1,145,0,0,0,0.58,0.58,74.37,30.19,47,1,116.8,29.22,1
2024-02-07T09:40:00-05:00,2024-02-07 09:40:00,44.1,2.5,3.4,8.1,97,0,0,0,0.58,0.58,74.37,30.2,48,0,42.8,29.23,1
2024-02-07T09:35:00-05:00,2024-02-07 09:35:00,43.7,2.2,3.4,8.1,83,0,0,0,0.58,0.58,74.37,30.2,48,0,39.7,29.23,1
2024-02-07T09:30:00-05:00,2024-02-07 09:30:00,43.2,0.4,1.1,8.1,195,0,0,0,0.58,0.58,74.37,30.2,50,0,79.3,29.23,1
2024-02-07T09:25:00-05:00,2024-02-07 09:25:00,43,3.8,4.5,8.1,51,0,0,0,0.58,0.58,74.37,30.2,49,0,76,29.23,1
2024-02-07T09:20:00-05:00,2024-02-07 09:20:00,42.6,1.1,2.2,8.1,134,0,0,0,0.58,0.58,74.37,30.19,50,0,67.6,29.22,1
2024-02-07T09:15:00-05:00,2024-02-07 09:15:00,43,2,3.4,8.1,124,0,0,0,0.58,0.58,74.37,30.19,50,0,55.3,29.23,1
2024-02-07T09:10:00-05:00,2024-02-07 09:10:00,42.4,1.8,2.2,8.1,141,0,0,0,0.58,0.58,74.37,30.19,51,0,74.4,29.22,1
2024-02-07T09:06:00-05:00,2024-02-07 09:06:00,42.1,0.7,1.1,8.1,177,0,0,0,0.58,0.58,74.37,30.19,52,0,44.6,29.22,1
2024-02-07T09:00:00-05:00,2024-02-07 09:00:00,41.9,0,0,8.1,187,0,0,0,0.58,0.58,74.37,30.19,53,0,37.5,29.22,1
2024-02-07T08:55:00-05:00,2024-02-07 08:55:00,41.9,1.1,1.1,8.1,140,0,0,0,0.58,0.58,74.37,30.19,52,0,23.4,29.22,1
2024-02-07T08:50:00-05:00,2024-02-07 08:50:00,41.5,0,0,8.1,187,0,0,0,0.58,0.58,74.37,30.19,53,0,22.9,29.22,1
2024-02-07T08:46:00-05:00,2024-02-07 08:46:00,41.5,2,2.2,8.1,94,0,0,0,0.58,0.58,74.37,30.18,53,0,21.9,29.22,1
2024-02-07T08:40:00-05:00,2024-02-07 08:40:00,41.2,1.3,2.2,8.1,152,0,0,0,0.58,0.58,74.37,30.19,53,0,21.1,29.22,1
2024-02-07T08:35:00-05:00,2024-02-07 08:35:00,41.2,0.7,1.1,8.1,190,0,0,0,0.58,0.58,74.37,30.18,54,0,20.4,29.22,1
2024-02-07T08:30:00-05:00,2024-02-07 08:30:00,41,1.8,3.4,8.1,93,0,0,0,0.58,0.58,74.37,30.19,54,0,19.2,29.22,1
2024-02-07T08:25:00-05:00,2024-02-07 08:25:00,40.8,0.9,2.2,8.1,243,0,0,0,0.58,0.58,74.37,30.19,55,0,18.4,29.22,1
2024-02-07T08:20:00-05:00,2024-02-07 08:20:00,40.8,1.3,2.2,8.1,154,0,0,0,0.58,0.58,74.37,30.18,55,0,17.3,29.22,1
2024-02-07T08:15:00-05:00,2024-02-07 08:15:00,40.6,1.1,2.2,8.1,163,0,0,0,0.58,0.58,74.37,30.18,56,0,16.1,29.22,1
2024-02-07T08:10:00-05:00,2024-02-07 08:10:00,40.5,0.2,1.1,8.1,165,0,0,0,0.58,0.58,74.37,30.19,57,0,14.9,29.22,1
2024-02-07T08:06:00-05:00,2024-02-07 08:06:00,40.5,0.9,1.1,8.1,260,0,0,0,0.58,0.58,74.37,30.18,56,0,13.9,29.21,1
2024-02-07T08:00:00-05:00,2024-02-07 08:00:00,40.3,0,0,8.1,192,0,0,0,0.58,0.58,74.37,30.18,57,0,12.2,29.22,1
2024-02-07T07:55:00-05:00,2024-02-07 07:55:00,40.3,0.7,1.1,8.1,164,0,0,0,0.58,0.58,74.37,30.18,56,0,10.5,29.21,1
2024-02-07T07:50:00-05:00,2024-02-07 07:50:00,40.1,0.9,2.2,8.1,186,0,0,0,0.58,0.58,74.37,30.18,59,0,8.7,29.21,1
2024-02-07T07:46:00-05:00,2024-02-07 07:46:00,39.9,3.4,4.5,8.1,112,0,0,0,0.58,0.58,74.37,30.18,56,0,7.2,29.21,1
2024-02-07T07:40:00-05:00,2024-02-07 07:40:00,39.9,1.6,2.2,8.1,136,0,0,0,0.58,0.58,74.37,30.18,56,0,5.1,29.21,1
2024-02-07T07:35:00-05:00,2024-02-07 07:35:00,40.1,1.8,2.2,8.1,97,0,0,0,0.58,0.58,74.37,30.18,56,0,3.4,29.21,1
2024-02-07T07:30:00-05:00,2024-02-07 07:30:00,40.3,0.9,1.1,8.1,137,0,0,0,0.58,0.58,74.37,30.17,56,0,2.1,29.21,1
2024-02-07T07:26:00-05:00,2024-02-07 07:26:00,40.3,1.3,2.2,8.1,103,0,0,0,0.58,0.58,74.37,30.17,56,0,1.3,29.21,1
