Date,Simple_Date,Outdoor_Temperature,Wind_Speed,Wind_Gust,Max_Daily_Gust,Wind_Direction,Hourly_Rain_(in/hr),Event_Rain,Daily_Rain,Weekly_Rain,Monthly_Rain,Yearly_Rain,Relative_Pressure_(inHg),Humidity_(%),Ultra-Violet_Radiation_Index,Solar_Radiation_(W/m^2),Avg_Wind_Direction,Absolute_Pressure_(inHg)
2024-01-30T18:00:00-05:00,2024-01-30 18:00:00,56.1,0,1.1,8.1,190,0,0,0,0,6.21,6.29,29.13,49,0,6.5,165,29.13
2024-01-30T17:55:00-05:00,2024-01-30 17:55:00,55.9,0.2,3.4,8.1,173,0,0,0,0,6.21,6.29,29.13,48,0,9.5,161,29.13
2024-01-30T17:50:00-05:00,2024-01-30 17:50:00,56.1,0,1.1,8.1,172,0,0,0,0,6.21,6.29,29.13,48,0,12.6,172,29.13
2024-01-30T17:45:00-05:00,2024-01-30 17:45:00,56.5,0,0,8.1,171,0,0,0,0,6.21,6.29,29.13,48,0,16.4,171,29.13
2024-01-30T17:40:00-05:00,2024-01-30 17:40:00,57.4,0.2,2.2,8.1,171,0,0,0,0,6.21,6.29,29.13,47,0,18.4,194,29.13
2024-01-30T17:35:00-05:00,2024-01-30 17:35:00,57.6,2.7,3.4,8.1,164,0,0,0,0,6.21,6.29,29.13,46,0,20.9,192,29.13
2024-01-30T17:30:00-05:00,2024-01-30 17:30:00,57.7,1.6,4.5,8.1,168,0,0,0,0,6.21,6.29,29.13,45,0,23.2,158,29.13
2024-01-30T17:25:00-05:00,2024-01-30 17:25:00,58.1,2.2,5.8,8.1,182,0,0,0,0,6.21,6.29,29.13,44,0,25.4,131,29.13
2024-01-30T17:20:00-05:00,2024-01-30 17:20:00,58.5,0,1.1,8.1,175,0,0,0,0,6.21,6.29,29.14,44,0,27.2,168,29.14
2024-01-30T17:15:00-05:00,2024-01-30 17:15:00,58.5,0.9,2.2,8.1,163,0,0,0,0,6.21,6.29,29.14,43,0,28.9,164,29.14
2024-01-30T17:10:00-05:00,2024-01-30 17:10:00,58.5,2.2,5.8,8.1,128,0,0,0,0,6.21,6.29,29.13,43,0,30.5,155,29.13
2024-01-30T17:05:00-05:00,2024-01-30 17:05:00,58.8,1.1,3.4,8.1,213,0,0,0,0,6.21,6.29,29.13,42,0,31.8,178,29.13
2024-01-30T17:00:00-05:00,2024-01-30 17:00:00,59.2,2.9,3.4,8.1,244,0,0,0,0,6.21,6.29,29.14,41,0,35.2,216,29.14
2024-01-30T16:55:00-05:00,2024-01-30 16:55:00,59.4,1.3,4.5,8.1,224,0,0,0,0,6.21,6.29,29.14,40,0,36.9,283,29.14
2024-01-30T16:50:00-05:00,2024-01-30 16:50:00,61.3,0,1.1,8.1,220,0,0,0,0,6.21,6.29,29.15,39,0,68.4,226,29.15
2024-01-30T16:45:00-05:00,2024-01-30 16:45:00,61.2,0,2.2,8.1,223,0,0,0,0,6.21,6.29,29.14,38,0,92.5,167,29.14
2024-01-30T16:40:00-05:00,2024-01-30 16:40:00,59.9,0,2.2,8.1,154,0,0,0,0,6.21,6.29,29.14,38,0,46.2,155,29.14
2024-01-30T16:35:00-05:00,2024-01-30 16:35:00,61.7,0,1.1,8.1,154,0,0,0,0,6.21,6.29,29.15,36,0,60,223,29.15
2024-01-30T16:30:00-05:00,2024-01-30 16:30:00,61.7,0.2,1.1,8.1,129,0,0,0,0,6.21,6.29,29.15,36,1,127.4,223,29.15
2024-01-30T16:25:00-05:00,2024-01-30 16:25:00,60.1,0.2,1.1,8.1,185,0,0,0,0,6.21,6.29,29.15,38,0,77.3,127,29.15
2024-01-30T16:20:00-05:00,2024-01-30 16:20:00,61,2.2,3.4,8.1,132,0,0,0,0,6.21,6.29,29.15,38,1,122.5,127,29.15
2024-01-30T16:15:00-05:00,2024-01-30 16:15:00,60.6,0.2,1.1,8.1,56,0,0,0,0,6.21,6.29,29.15,37,1,162.1,158,29.15
2024-01-30T16:10:00-05:00,2024-01-30 16:10:00,60.1,2.2,5.8,8.1,161,0,0,0,0,6.21,6.29,29.16,36,1,153.5,170,29.16
2024-01-30T16:05:00-05:00,2024-01-30 16:05:00,59.9,1.3,2.2,8.1,162,0,0,0,0,6.21,6.29,29.15,34,1,170.5,173,29.15
2024-01-30T16:00:00-05:00,2024-01-30 16:00:00,59.7,3.6,4.5,8.1,137,0,0,0,0,6.21,6.29,29.15,35,1,173.5,180,29.15
2024-01-30T15:55:00-05:00,2024-01-30 15:55:00,59.2,3.8,6.9,8.1,128,0,0,0,0,6.21,6.29,29.15,37,1,195.6,146,29.15
2024-01-30T15:50:00-05:00,2024-01-30 15:50:00,59,2.5,6.9,8.1,143,0,0,0,0,6.21,6.29,29.15,35,2,226.6,159,29.15
2024-01-30T15:45:00-05:00,2024-01-30 15:45:00,59.5,4,6.9,8.1,141,0,0,0,0,6.21,6.29,29.16,36,2,241.6,159,29.16
2024-01-30T15:40:00-05:00,2024-01-30 15:40:00,60.3,3.8,4.5,8.1,168,0,0,0,0,6.21,6.29,29.16,35,2,255.2,139,29.16
2024-01-30T15:35:00-05:00,2024-01-30 15:35:00,60.1,6.5,6.9,8.1,149,0,0,0,0,6.21,6.29,29.16,35,2,267,170,29.16
2024-01-30T15:30:00-05:00,2024-01-30 15:30:00,60.8,0.9,4.5,8.1,224,0,0,0,0,6.21,6.29,29.16,35,2,279.5,196,29.16
2024-01-30T15:25:00-05:00,2024-01-30 15:25:00,60.6,1.3,4.5,8.1,164,0,0,0,0,6.21,6.29,29.16,36,2,295.4,196,29.16
2024-01-30T15:21:00-05:00,2024-01-30 15:21:00,59.5,0.9,2.2,8.1,157,0,0,0,0,6.21,6.29,29.16,34,2,301.9,326,29.16
2024-01-30T15:15:00-05:00,2024-01-30 15:15:00,59.7,3.1,8.1,8.1,334,0,0,0,0,6.21,6.29,29.16,35,3,314.2,236,29.16
