Chan_0_1,Chan_0_2,Chan_1_2,timestamp
61, 43, 63, Tue Feb 13 17:21:41 2024
53, 36, 61, Tue Feb 13 17:22:41 2024
59, 43, 64, Tue Feb 13 17:23:41 2024
60, 42, 64, Tue Feb 13 17:24:41 2024
57, 43, 55, Tue Feb 13 17:25:41 2024
56, 43, 71, Tue Feb 13 17:26:41 2024
59, 37, 54, Tue Feb 13 17:27:41 2024
61, 43, 62, Tue Feb 13 17:28:41 2024
55, 37, 59, Tue Feb 13 17:29:41 2024
57, 37, 49, Tue Feb 13 17:30:41 2024
70, 52, 78, Tue Feb 13 17:31:41 2024
51, 37, 60, Tue Feb 13 17:32:41 2024
49, 32, 55, Tue Feb 13 17:33:41 2024
52, 38, 58, Tue Feb 13 17:34:41 2024
63, 48, 75, Tue Feb 13 17:35:41 2024
68, 45, 69, Tue Feb 13 17:36:41 2024
70, 45, 71, Tue Feb 13 17:37:41 2024
54, 34, 51, Tue Feb 13 17:38:41 2024
62, 40, 60, Tue Feb 13 17:39:41 2024
50, 37, 57, Tue Feb 13 17:40:41 2024
60, 38, 60, Tue Feb 13 17:41:41 2024
67, 45, 66, Tue Feb 13 17:42:41 2024
61, 49, 71, Tue Feb 13 17:43:41 2024
59, 45, 65, Tue Feb 13 17:44:41 2024
51, 41, 60, Tue Feb 13 17:45:41 2024
60, 44, 66, Tue Feb 13 17:46:41 2024
46, 32, 44, Tue Feb 13 17:47:41 2024
55, 35, 59, Tue Feb 13 17:48:41 2024
70, 54, 77, Tue Feb 13 17:49:41 2024
58, 43, 65, Tue Feb 13 17:50:41 2024
65, 40, 57, Tue Feb 13 17:51:41 2024
73, 46, 62, Tue Feb 13 17:52:41 2024
62, 42, 64, Tue Feb 13 17:53:41 2024
64, 46, 60, Tue Feb 13 17:54:41 2024
64, 46, 68, Tue Feb 13 17:55:41 2024
69, 44, 60, Tue Feb 13 17:56:41 2024
52, 34, 56, Tue Feb 13 17:57:41 2024
60, 39, 56, Tue Feb 13 17:58:41 2024
63, 39, 59, Tue Feb 13 17:59:41 2024
68, 54, 68, Tue Feb 13 18:00:41 2024
49, 33, 52, Tue Feb 13 18:01:41 2024
60, 41, 61, Tue Feb 13 18:02:41 2024
62, 43, 69, Tue Feb 13 18:03:41 2024
47, 33, 52, Tue Feb 13 18:04:41 2024
58, 40, 63, Tue Feb 13 18:05:41 2024
58, 42, 56, Tue Feb 13 18:06:41 2024
77, 57, 81, Tue Feb 13 18:07:41 2024
61, 45, 63, Tue Feb 13 18:08:41 2024
62, 50, 72, Tue Feb 13 18:09:41 2024
68, 57, 81, Tue Feb 13 18:10:41 2024
64, 38, 51, Tue Feb 13 18:11:41 2024
63, 46, 68, Tue Feb 13 18:12:41 2024
49, 39, 60, Tue Feb 13 18:13:41 2024
72, 48, 65, Tue Feb 13 18:14:41 2024
54, 36, 55, Tue Feb 13 18:15:41 2024
56, 47, 66, Tue Feb 13 18:16:41 2024
52, 33, 46, Tue Feb 13 18:17:41 2024
57, 41, 61, Tue Feb 13 18:18:41 2024
64, 48, 71, Tue Feb 13 18:19:41 2024
56, 35, 59, Tue Feb 13 18:20:41 2024
57, 40, 73, Tue Feb 13 18:21:41 2024
67, 46, 68, Tue Feb 13 18:22:41 2024
77, 55, 78, Tue Feb 13 18:23:41 2024
59, 45, 63, Tue Feb 13 18:24:41 2024
67, 46, 69, Tue Feb 13 18:25:41 2024
54, 31, 51, Tue Feb 13 18:26:41 2024
61, 42, 63, Tue Feb 13 18:27:41 2024
74, 54, 69, Tue Feb 13 18:28:41 2024
64, 41, 61, Tue Feb 13 18:29:41 2024
58, 44, 67, Tue Feb 13 18:30:41 2024
59, 43, 60, Tue Feb 13 18:31:41 2024
57, 43, 72, Tue Feb 13 18:32:41 2024
47, 33, 50, Tue Feb 13 18:33:41 2024
61, 46, 61, Tue Feb 13 18:34:41 2024
71, 46, 59, Tue Feb 13 18:35:41 2024
70, 45, 66, Tue Feb 13 18:36:41 2024
43, 31, 52, Tue Feb 13 18:37:41 2024
53, 37, 51, Tue Feb 13 18:38:41 2024
52, 35, 54, Tue Feb 13 18:39:41 2024
60, 34, 66, Tue Feb 13 18:40:41 2024
49, 33, 53, Tue Feb 13 18:41:41 2024
62, 47, 64, Tue Feb 13 18:42:41 2024
55, 32, 52, Tue Feb 13 18:43:41 2024
64, 40, 63, Tue Feb 13 18:44:41 2024
58, 38, 55, Tue Feb 13 18:45:41 2024
46, 31, 41, Tue Feb 13 18:46:41 2024
49, 41, 57, Tue Feb 13 18:47:41 2024
66, 46, 70, Tue Feb 13 18:48:41 2024
61, 39, 57, Tue Feb 13 18:49:41 2024
51, 37, 58, Tue Feb 13 18:50:41 2024
53, 33, 52, Tue Feb 13 18:51:41 2024
58, 40, 65, Tue Feb 13 18:52:41 2024
64, 47, 64, Tue Feb 13 18:53:41 2024
59, 40, 55, Tue Feb 13 18:54:41 2024
71, 47, 65, Tue Feb 13 18:55:41 2024
58, 42, 56, Tue Feb 13 18:56:41 2024
58, 43, 69, Tue Feb 13 18:57:41 2024
62, 46, 61, Tue Feb 13 18:58:41 2024
45, 32, 50, Tue Feb 13 18:59:41 2024
66, 54, 75, Tue Feb 13 19:00:41 2024
70, 50, 69, Tue Feb 13 19:01:41 2024
65, 44, 63, Tue Feb 13 19:02:41 2024
68, 47, 67, Tue Feb 13 19:03:41 2024
61, 37, 51, Tue Feb 13 19:04:41 2024
53, 34, 49, Tue Feb 13 19:05:41 2024
57, 43, 59, Tue Feb 13 19:06:41 2024
59, 45, 72, Tue Feb 13 19:07:41 2024
48, 32, 46, Tue Feb 13 19:08:41 2024
57, 41, 57, Tue Feb 13 19:09:41 2024
57, 45, 56, Tue Feb 13 19:10:41 2024
48, 35, 52, Tue Feb 13 19:11:41 2024
57, 45, 63, Tue Feb 13 19:12:41 2024
51, 34, 59, Tue Feb 13 19:13:41 2024
61, 38, 59, Tue Feb 13 19:14:41 2024
51, 38, 55, Tue Feb 13 19:15:41 2024
56, 38, 51, Tue Feb 13 19:16:41 2024
54, 37, 53, Tue Feb 13 19:17:41 2024
55, 30, 47, Tue Feb 13 19:18:41 2024
59, 43, 64, Tue Feb 13 19:19:41 2024
41, 32, 56, Tue Feb 13 19:20:41 2024
52, 39, 57, Tue Feb 13 19:21:41 2024
47, 32, 51, Tue Feb 13 19:22:41 2024
71, 53, 73, Tue Feb 13 19:23:41 2024
52, 39, 61, Tue Feb 13 19:24:41 2024
71, 51, 67, Tue Feb 13 19:25:41 2024
54, 31, 47, Tue Feb 13 19:26:41 2024
56, 42, 63, Tue Feb 13 19:27:41 2024
62, 49, 72, Tue Feb 13 19:28:41 2024
73, 54, 73, Tue Feb 13 19:29:41 2024
55, 37, 59, Tue Feb 13 19:30:41 2024
57, 44, 55, Tue Feb 13 19:31:41 2024
56, 42, 55, Tue Feb 13 19:32:41 2024
55, 44, 54, Tue Feb 13 19:33:41 2024
59, 44, 59, Tue Feb 13 19:34:41 2024
69, 43, 58, Tue Feb 13 19:35:41 2024
54, 39, 61, Tue Feb 13 19:36:41 2024
53, 39, 67, Tue Feb 13 19:37:41 2024
60, 46, 70, Tue Feb 13 19:38:41 2024
62, 48, 65, Tue Feb 13 19:39:41 2024
68, 50, 82, Tue Feb 13 19:40:41 2024
50, 35, 59, Tue Feb 13 19:41:41 2024
49, 35, 55, Tue Feb 13 19:42:41 2024
48, 38, 55, Tue Feb 13 19:43:41 2024
63, 44, 68, Tue Feb 13 19:44:41 2024
68, 53, 76, Tue Feb 13 19:45:41 2024
59, 43, 72, Tue Feb 13 19:46:41 2024
69, 45, 59, Tue Feb 13 19:47:41 2024
63, 46, 66, Tue Feb 13 19:48:41 2024
59, 40, 61, Tue Feb 13 19:49:41 2024
44, 31, 50, Tue Feb 13 19:50:41 2024
