Chan_0_1,Chan_0_2,Chan_1_2,timestamp,Latitude,Longitude,Altitude (m)
19,10,16, Sat Mar 18 19:00:32 2023,,,
16,12,21, Sat Mar 18 19:01:32 2023,,,
12,10,17, Sat Mar 18 19:02:32 2023,,,
16,14,21, Sat Mar 18 19:03:32 2023,,,
17,9,22, Sat Mar 18 19:04:32 2023,,,
10,9,22, Sat Mar 18 19:05:32 2023,,,
15,10,13, Sat Mar 18 19:06:32 2023,,,
15,10,21, Sat Mar 18 19:07:32 2023,,,
11,12,17, Sat Mar 18 19:08:32 2023,,,
17,12,15, Sat Mar 18 19:09:32 2023,,,
10,9,19, Sat Mar 18 19:10:32 2023,,,
11,10,19, Sat Mar 18 19:11:32 2023,,,
13,9,21, Sat Mar 18 19:12:32 2023,,,
19,15,33, Sat Mar 18 19:13:32 2023,,,
21,18,24, Sat Mar 18 19:14:32 2023,,,
17,16,21, Sat Mar 18 19:15:32 2023,,,
11,8,12, Sat Mar 18 19:16:32 2023,,,
10,10,17, Sat Mar 18 19:17:32 2023,,,
15,9,16, Sat Mar 18 19:18:32 2023,,,
15,12,19, Sat Mar 18 19:19:32 2023,,,
9,8,16, Sat Mar 18 19:20:32 2023,,,
14,14,13, Sat Mar 18 19:21:32 2023,,,
7,5,11, Sat Mar 18 19:22:32 2023,,,
20,14,23, Sat Mar 18 19:23:32 2023,,,
18,15,19, Sat Mar 18 19:24:32 2023,,,
18,15,23, Sat Mar 18 19:25:32 2023,,,
17,15,20, Sat Mar 18 19:26:32 2023,,,
12,9,17, Sat Mar 18 19:27:32 2023,,,
14,12,20, Sat Mar 18 19:28:32 2023,,,
19,18,25, Sat Mar 18 19:29:32 2023,,,
14,14,17, Sat Mar 18 19:30:32 2023,,,
27,16,26, Sat Mar 18 19:31:32 2023,,,
20,20,29, Sat Mar 18 19:32:32 2023,,,
27,23,30, Sat Mar 18 19:33:32 2023,,,
19,14,25, Sat Mar 18 19:34:32 2023,,,
21,12,20, Sat Mar 18 19:35:32 2023,,,
17,16,23, Sat Mar 18 19:36:32 2023,,,
17,16,20, Sat Mar 18 19:37:32 2023,,,
19,16,26, Sat Mar 18 19:38:32 2023,,,
25,18,23, Sat Mar 18 19:39:32 2023,,,
22,24,32, Sat Mar 18 19:40:32 2023,,,
30,24,34, Sat Mar 18 19:41:32 2023,,,
21,19,30, Sat Mar 18 19:42:32 2023,,,
21,11,25, Sat Mar 18 19:43:32 2023,,,
21,17,24, Sat Mar 18 19:44:32 2023,33.755906,-84.387874,346.9002838
18,20,28, Sat Mar 18 19:45:32 2023,33.751984,-84.378474,304.8374466
19,22,29, Sat Mar 18 19:46:32 2023,33.751303,-84.37924,305.4080278
19,13,26, Sat Mar 18 19:47:32 2023,33.750129,-84.379599,312.089753
20,13,33, Sat Mar 18 19:48:32 2023,33.749779,-84.379577,313.1589155
