timestamp,Chan_0_1,Chan_0_2,Chan_1_2,Latitude,Longitude,Altitude (m),index,Temperature,Relative Pressure,Humidity,Absolute Pressure (inHg),Temperature_SM,RelativePressure_SM,Humidity_SM
2023-03-18 11:08:00,15.0,11.0,30.0,33.75198359,-84.37832011,305.1019937,441.0,43.2,30.12,50.0,28.98,45.7,28.98,57.0
2023-03-18 11:09:00,16.0,12.0,21.0,33.75198242,-84.37832997,305.2793508,441.0,43.2,30.12,50.0,28.98,45.7,28.98,57.0
2023-03-18 11:10:00,19.0,12.0,27.0,33.7512424,-84.37793719,305.8468741,441.0,43.2,30.12,50.0,28.98,45.7,28.98,57.0
2023-03-18 11:11:00,16.0,17.0,26.0,33.75088212,-84.37668724,305.6933143,440.8,43.480000000000004,30.12,48.8,28.98,45.7,28.98,57.6
2023-03-18 11:12:00,25.0,19.0,28.0,33.74843085,-84.37666377,314.3191097,440.6,43.760000000000005,30.12,47.6,28.98,45.7,28.98,58.2
2023-03-18 11:13:00,24.0,16.0,29.0,33.74710245,-84.37667907,317.4900834,440.4,44.04,30.12,46.4,28.98,45.7,28.98,58.8
2023-03-18 11:14:00,16.0,12.0,25.0,33.74676118,-84.3739533,319.6264708,440.2,44.32,30.12,45.2,28.98,45.7,28.98,59.4
2023-03-18 11:15:00,16.0,13.0,34.0,33.74665674,-84.36877227,310.2837305,440.0,44.6,30.12,44.0,28.98,45.7,28.98,60.0
2023-03-18 11:16:00,24.0,15.0,30.0,33.74665412,-84.36306446,295.506571,439.8,44.38,30.12,44.2,28.98,45.7,28.98,59.6
2023-03-18 11:17:00,13.0,12.0,23.0,33.74660092,-84.35974959,304.2189712,439.6,44.160000000000004,30.12,44.4,28.98,45.7,28.98,59.2
2023-03-18 11:18:00,16.0,13.0,30.0,33.74512851,-84.35829069,304.8328787,439.4,43.94,30.12,44.6,28.98,45.7,28.98,58.8
2023-03-18 11:19:00,22.0,20.0,28.0,33.74188611,-84.35866283,299.4224645,439.2,43.72,30.12,44.8,28.98,45.7,28.98,58.4
2023-03-18 11:20:00,21.0,13.0,31.0,33.74206616,-84.36065841,297.1102664,439.0,43.5,30.12,45.0,28.98,45.7,28.98,58.0
2023-03-18 11:21:00,23.0,19.0,34.0,33.74158934,-84.36121296,298.330594,438.8,43.44,30.12,45.2,28.98,45.7,28.98,58.2
2023-03-18 11:22:00,27.0,17.0,34.0,33.74147028,-84.36121846,298.7886585,438.6,43.38,30.12,45.4,28.98,45.7,28.98,58.4
2023-03-18 11:23:00,29.0,24.0,29.0,33.74149908,-84.3612373,299.269577,438.4,43.32,30.12,45.6,28.98,45.7,28.98,58.6
2023-03-18 11:24:00,23.0,22.0,34.0,33.74148866,-84.36120732,295.6496228,438.2,43.260000000000005,30.12,45.8,28.98,45.7,28.98,58.8
2023-03-18 11:25:00,27.0,23.0,36.0,33.74148951,-84.36120166,298.5210628,438.0,43.2,30.12,46.0,28.98,45.7,28.98,59.0
