Chan_0_1,Chan_0_2,Chan_1_2,timestamp
14, 10, 10, Wed Feb  8 14:04:10 2023
16, 13, 19, Wed Feb  8 14:05:10 2023
13, 18, 15, Wed Feb  8 14:06:10 2023
15, 16, 13, Wed Feb  8 14:07:10 2023
10, 11, 13, Wed Feb  8 14:08:10 2023
4, 4, 6, Wed Feb  8 14:09:10 2023
11, 8, 11, Wed Feb  8 14:10:10 2023
16, 12, 17, Wed Feb  8 14:11:10 2023
10, 7, 15, Wed Feb  8 14:12:10 2023
12, 9, 16, Wed Feb  8 14:13:10 2023
9, 8, 10, Wed Feb  8 14:14:10 2023
9, 8, 13, Wed Feb  8 14:15:10 2023
10, 12, 15, Wed Feb  8 14:16:10 2023
9, 12, 11, Wed Feb  8 14:17:10 2023
13, 13, 10, Wed Feb  8 14:18:10 2023
17, 13, 14, Wed Feb  8 14:19:10 2023
13, 10, 11, Wed Feb  8 14:20:10 2023
19, 15, 20, Wed Feb  8 14:21:10 2023
17, 10, 13, Wed Feb  8 14:22:10 2023
9, 11, 9, Wed Feb  8 14:23:10 2023
7, 8, 9, Wed Feb  8 14:24:10 2023
15, 11, 17, Wed Feb  8 14:25:10 2023
18, 13, 11, Wed Feb  8 14:26:10 2023
11, 14, 13, Wed Feb  8 14:27:10 2023
11, 8, 14, Wed Feb  8 14:28:10 2023
15, 11, 14, Wed Feb  8 14:29:10 2023
12, 9, 7, Wed Feb  8 14:30:10 2023
12, 11, 18, Wed Feb  8 14:31:10 2023
8, 4, 8, Wed Feb  8 15:06:39 2023
13, 7, 11, Wed Feb  8 15:07:39 2023
11, 14, 14, Wed Feb  8 15:08:39 2023
15, 11, 13, Wed Feb  8 15:09:39 2023
11, 9, 15, Wed Feb  8 15:10:39 2023
12, 11, 16, Wed Feb  8 15:11:39 2023
13, 11, 12, Wed Feb  8 15:43:57 2023
18, 17, 18, Wed Feb  8 15:44:57 2023
26, 22, 22, Wed Feb  8 15:45:57 2023
14, 13, 16, Wed Feb  8 15:46:57 2023
16, 8, 12, Wed Feb  8 15:47:57 2023
15, 8, 14, Wed Feb  8 15:48:57 2023
6, 6, 9, Wed Feb  8 15:49:57 2023
10, 9, 11, Wed Feb  8 15:50:57 2023
9, 9, 13, Wed Feb  8 15:51:57 2023
15, 15, 12, Wed Feb  8 15:52:57 2023
11, 10, 8, Wed Feb  8 15:53:57 2023
11, 8, 10, Wed Feb  8 15:54:57 2023
14, 12, 16, Wed Feb  8 15:55:57 2023
8, 8, 5, Wed Feb  8 15:56:57 2023
18, 12, 18, Wed Feb  8 15:57:57 2023
14, 9, 12, Wed Feb  8 15:58:57 2023
22, 21, 22, Wed Feb  8 15:59:57 2023
19, 15, 18, Wed Feb  8 16:00:57 2023
37, 12, 17, Wed Feb  8 16:01:57 2023
20, 16, 16, Wed Feb  8 16:02:57 2023
14, 11, 12, Wed Feb  8 16:03:57 2023
19, 14, 11, Wed Feb  8 16:04:57 2023
12, 13, 15, Wed Feb  8 16:05:57 2023
18, 14, 18, Wed Feb  8 16:06:57 2023
7, 11, 8, Wed Feb  8 16:07:57 2023
15, 16, 17, Wed Feb  8 16:08:57 2023
18, 11, 17, Wed Feb  8 16:09:57 2023
14, 10, 15, Wed Feb  8 16:10:57 2023
21, 19, 21, Wed Feb  8 16:11:57 2023
24, 23, 11, Wed Feb  8 16:12:57 2023
16, 12, 11, Wed Feb  8 16:13:57 2023
16, 13, 14, Wed Feb  8 16:14:57 2023
10, 10, 16, Wed Feb  8 16:15:57 2023
16, 15, 19, Wed Feb  8 16:16:57 2023
14, 17, 19, Wed Feb  8 16:17:57 2023
7, 5, 12, Wed Feb  8 16:18:57 2023
11, 15, 17, Wed Feb  8 16:19:57 2023
15, 18, 17, Wed Feb  8 16:20:57 2023
13, 13, 15, Wed Feb  8 16:21:57 2023
17, 20, 17, Wed Feb  8 16:22:57 2023
42, 14, 15, Wed Feb  8 16:23:57 2023
14, 14, 16, Wed Feb  8 16:24:57 2023
15, 12, 13, Wed Feb  8 16:25:57 2023
10, 11, 9, Wed Feb  8 16:26:57 2023
15, 11, 14, Wed Feb  8 16:27:57 2023
14, 12, 16, Wed Feb  8 16:28:57 2023
17, 12, 12, Wed Feb  8 16:29:57 2023
11, 11, 15, Wed Feb  8 16:30:57 2023
14, 12, 13, Wed Feb  8 16:31:57 2023
14, 12, 15, Wed Feb  8 16:32:57 2023
18, 16, 20, Wed Feb  8 18:16:19 2023
16, 8, 15, Wed Feb  8 18:19:20 2023
18, 18, 16, Wed Feb  8 18:20:20 2023
18, 18, 20, Wed Feb  8 18:28:35 2023
14, 13, 15, Wed Feb  8 18:29:35 2023
14, 14, 18, Wed Feb  8 18:30:35 2023
16, 11, 13, Wed Feb  8 19:24:22 2023
19, 15, 18, Wed Feb  8 19:25:22 2023
12, 14, 11, Wed Feb  8 19:26:22 2023
14, 10, 20, Wed Feb  8 19:27:22 2023
1157, 1082, 532, Wed Feb  8 19:30:12 2023
12, 8, 19, Wed Feb  8 19:31:12 2023
14, 15, 10, Wed Feb  8 19:32:12 2023
11, 13, 20, Wed Feb  8 19:33:12 2023
12, 11, 13, Wed Feb  8 19:34:12 2023
5, 5, 13, Wed Feb  8 19:35:12 2023
13, 9, 10, Wed Feb  8 19:36:12 2023
15, 11, 20, Wed Feb  8 19:37:12 2023
14, 10, 12, Wed Feb  8 19:38:12 2023
18, 20, 22, Wed Feb  8 19:39:12 2023
15, 16, 16, Wed Feb  8 19:40:12 2023
10, 18, 13, Wed Feb  8 19:41:12 2023
11, 7, 8, Wed Feb  8 19:42:12 2023
20, 10, 17, Wed Feb  8 19:43:12 2023
16, 18, 23, Wed Feb  8 19:44:12 2023
14, 12, 12, Wed Feb  8 19:45:12 2023
12, 11, 18, Wed Feb  8 19:46:12 2023
15, 14, 15, Wed Feb  8 19:47:12 2023
15, 16, 18, Wed Feb  8 19:48:12 2023
21, 21, 23, Wed Feb  8 19:49:12 2023
11, 9, 6, Wed Feb  8 19:50:12 2023
11, 10, 13, Wed Feb  8 19:51:12 2023
12, 13, 11, Wed Feb  8 19:52:12 2023
14, 11, 15, Wed Feb  8 19:53:12 2023
6, 11, 10, Wed Feb  8 19:54:12 2023
11, 11, 15, Wed Feb  8 19:55:12 2023
12, 9, 18, Wed Feb  8 19:56:12 2023
20, 12, 12, Wed Feb  8 19:57:12 2023
14, 10, 15, Wed Feb  8 19:58:12 2023
20, 11, 17, Wed Feb  8 19:59:12 2023
20, 17, 16, Wed Feb  8 20:02:12 2023
13, 8, 12, Wed Feb  8 20:03:12 2023
13, 13, 12, Wed Feb  8 20:04:12 2023
13, 15, 15, Wed Feb  8 20:05:12 2023
14, 11, 16, Wed Feb  8 20:06:12 2023
17, 14, 25, Wed Feb  8 20:07:12 2023
15, 13, 14, Wed Feb  8 20:08:12 2023
14, 10, 9, Wed Feb  8 20:09:12 2023
23, 22, 22, Wed Feb  8 20:10:12 2023
14, 15, 19, Wed Feb  8 20:11:12 2023
15, 14, 17, Wed Feb  8 20:12:12 2023
13, 9, 17, Wed Feb  8 20:13:12 2023
17, 15, 16, Wed Feb  8 20:14:12 2023
19, 14, 14, Wed Feb  8 20:15:12 2023
10, 11, 14, Wed Feb  8 20:16:12 2023
12, 7, 17, Wed Feb  8 20:17:12 2023
15, 15, 20, Wed Feb  8 20:18:12 2023
9, 8, 10, Wed Feb  8 20:19:12 2023
6, 7, 7, Wed Feb  8 20:20:12 2023
12, 15, 12, Wed Feb  8 20:21:12 2023
12, 9, 13, Wed Feb  8 20:22:12 2023
17, 18, 16, Wed Feb  8 20:23:12 2023
15, 15, 21, Wed Feb  8 20:24:12 2023
17, 14, 25, Wed Feb  8 20:25:12 2023
16, 11, 15, Wed Feb  8 20:26:12 2023
14, 14, 15, Wed Feb  8 20:27:12 2023
15, 16, 17, Wed Feb  8 20:28:12 2023
20, 19, 23, Wed Feb  8 20:29:12 2023
5, 7, 13, Wed Feb  8 20:30:12 2023
19, 13, 14, Wed Feb  8 20:31:12 2023
7, 6, 11, Wed Feb  8 20:34:12 2023
14, 11, 11, Wed Feb  8 20:35:12 2023
18, 11, 13, Wed Feb  8 20:36:12 2023
16, 11, 14, Wed Feb  8 20:37:12 2023
21, 14, 17, Wed Feb  8 20:38:12 2023
19, 13, 30, Wed Feb  8 20:39:12 2023
15, 15, 16, Wed Feb  8 20:40:12 2023
17, 10, 9, Wed Feb  8 20:41:12 2023
16, 7, 11, Wed Feb  8 20:42:12 2023
11, 10, 17, Wed Feb  8 20:43:12 2023
13, 11, 13, Wed Feb  8 20:44:12 2023
15, 13, 12, Wed Feb  8 20:45:12 2023
15, 11, 16, Wed Feb  8 20:46:12 2023
16, 10, 11, Wed Feb  8 20:47:12 2023
18, 13, 16, Wed Feb  8 20:48:12 2023
14, 11, 12, Wed Feb  8 20:49:12 2023
26, 15, 22, Wed Feb  8 20:50:12 2023
10, 8, 19, Wed Feb  8 20:51:12 2023
16, 15, 15, Wed Feb  8 20:53:12 2023
19, 15, 14, Wed Feb  8 20:54:12 2023
12, 13, 12, Wed Feb  8 20:55:12 2023
13, 11, 12, Wed Feb  8 20:56:12 2023
5, 4, 5, Wed Feb  8 20:57:12 2023
10, 13, 11, Wed Feb  8 20:58:12 2023
12, 11, 19, Wed Feb  8 20:59:12 2023
13, 15, 14, Wed Feb  8 21:00:12 2023
15, 13, 17, Wed Feb  8 21:01:12 2023
9, 8, 10, Wed Feb  8 21:02:12 2023
17, 12, 23, Wed Feb  8 21:03:12 2023
19, 21, 20, Wed Feb  8 21:06:12 2023
19, 10, 15, Wed Feb  8 21:07:12 2023
6, 7, 13, Wed Feb  8 21:08:12 2023
15, 16, 17, Wed Feb  8 21:09:12 2023
19, 17, 17, Wed Feb  8 21:10:12 2023
8, 13, 17, Wed Feb  8 21:11:12 2023
13, 13, 16, Wed Feb  8 21:12:12 2023
12, 10, 14, Wed Feb  8 21:13:12 2023
22, 15, 18, Wed Feb  8 21:14:12 2023
19, 16, 22, Wed Feb  8 21:15:12 2023
9, 12, 9, Wed Feb  8 21:16:12 2023
17, 18, 19, Wed Feb  8 21:17:12 2023
21, 25, 28, Wed Feb  8 21:18:12 2023
17, 14, 16, Wed Feb  8 21:19:12 2023
5, 9, 13, Wed Feb  8 21:20:12 2023
2, 2, 4, Wed Feb  8 21:21:12 2023
