counts_1_2,counts_2_3,counts_1_3,timestamp
22, 31, 25, Mon Nov 21 12:17:58 2022
21, 17, 16, Mon Nov 21 12:18:58 2022
20, 20, 21, Mon Nov 21 12:19:58 2022
32, 32, 37, Mon Nov 21 12:20:58 2022
26, 26, 26, Mon Nov 21 12:21:58 2022
22, 25, 24, Mon Nov 21 12:22:58 2022
25, 27, 28, Mon Nov 21 12:23:58 2022
30, 31, 31, Mon Nov 21 12:24:58 2022
21, 19, 24, Mon Nov 21 12:25:58 2022
19, 20, 22, Mon Nov 21 12:26:58 2022
21, 23, 22, Mon Nov 21 12:27:58 2022
29, 29, 31, Mon Nov 21 12:28:58 2022
23, 20, 19, Mon Nov 21 12:29:58 2022
27, 23, 24, Mon Nov 21 12:30:58 2022
20, 24, 27, Mon Nov 21 12:31:58 2022
25, 24, 25, Mon Nov 21 12:32:58 2022
29, 29, 33, Mon Nov 21 12:33:58 2022
37, 41, 41, Mon Nov 21 12:34:58 2022
19, 19, 18, Mon Nov 21 12:35:58 2022
21, 17, 22, Mon Nov 21 12:36:58 2022
28, 30, 29, Mon Nov 21 12:37:58 2022
21, 24, 22, Mon Nov 21 12:38:58 2022
28, 28, 26, Mon Nov 21 12:39:58 2022
31, 26, 28, Mon Nov 21 12:40:58 2022
17, 22, 20, Mon Nov 21 12:41:58 2022
35, 32, 34, Mon Nov 21 12:42:58 2022
27, 29, 32, Mon Nov 21 12:43:58 2022
19, 26, 21, Mon Nov 21 12:44:58 2022
30, 26, 29, Mon Nov 21 12:45:58 2022
21, 30, 25, Mon Nov 21 12:46:58 2022
22, 26, 21, Mon Nov 21 12:47:58 2022
19, 23, 24, Mon Nov 21 12:48:58 2022
20, 22, 24, Mon Nov 21 12:49:58 2022
33, 32, 29, Mon Nov 21 12:50:58 2022
32, 27, 26, Mon Nov 21 12:51:58 2022
24, 22, 28, Mon Nov 21 12:52:58 2022
28, 25, 28, Mon Nov 21 12:53:58 2022
32, 27, 33, Mon Nov 21 12:54:58 2022
20, 22, 23, Mon Nov 21 12:55:58 2022
25, 25, 23, Mon Nov 21 12:56:58 2022
25, 25, 26, Mon Nov 21 12:57:58 2022
24, 27, 31, Mon Nov 21 12:58:58 2022
19, 23, 22, Mon Nov 21 12:59:58 2022
18, 19, 23, Mon Nov 21 13:00:58 2022
31, 31, 30, Mon Nov 21 13:01:58 2022
23, 24, 23, Mon Nov 21 13:02:58 2022
29, 26, 27, Mon Nov 21 13:03:58 2022
32, 36, 36, Mon Nov 21 13:04:58 2022
21, 24, 22, Mon Nov 21 13:05:58 2022
20, 24, 21, Mon Nov 21 13:06:58 2022
25, 24, 23, Mon Nov 21 13:07:58 2022
22, 20, 20, Mon Nov 21 13:08:58 2022
35, 41, 34, Mon Nov 21 13:09:58 2022
21, 22, 24, Mon Nov 21 13:10:58 2022
31, 34, 38, Mon Nov 21 13:11:58 2022
33, 28, 26, Mon Nov 21 13:12:58 2022
29, 27, 25, Mon Nov 21 13:13:58 2022
30, 32, 31, Mon Nov 21 13:14:58 2022
26, 31, 26, Mon Nov 21 13:15:58 2022
17, 13, 17, Mon Nov 21 13:16:58 2022
20, 22, 26, Mon Nov 21 13:17:58 2022
20, 17, 18, Mon Nov 21 13:18:58 2022
30, 36, 30, Mon Nov 21 13:19:58 2022
20, 21, 20, Mon Nov 21 13:20:58 2022
25, 22, 24, Mon Nov 21 13:21:58 2022
18, 20, 21, Mon Nov 21 13:22:58 2022
25, 26, 23, Mon Nov 21 13:23:58 2022
28, 28, 32, Mon Nov 21 13:24:58 2022
22, 30, 21, Mon Nov 21 13:25:58 2022
14, 17, 14, Mon Nov 21 13:26:58 2022
25, 24, 23, Mon Nov 21 13:27:58 2022
28, 35, 31, Mon Nov 21 13:28:58 2022
20, 25, 26, Mon Nov 21 13:29:58 2022
25, 23, 24, Mon Nov 21 13:30:58 2022
29, 25, 26, Mon Nov 21 13:31:58 2022
19, 20, 18, Mon Nov 21 13:32:58 2022
27, 28, 28, Mon Nov 21 13:33:58 2022
22, 17, 20, Mon Nov 21 13:34:58 2022
20, 28, 24, Mon Nov 21 13:35:58 2022
18, 17, 19, Mon Nov 21 13:36:58 2022
21, 22, 26, Mon Nov 21 13:37:58 2022
26, 25, 31, Mon Nov 21 13:38:58 2022
31, 33, 33, Mon Nov 21 13:39:58 2022
24, 21, 26, Mon Nov 21 13:40:58 2022
19, 22, 22, Mon Nov 21 13:41:58 2022
25, 32, 27, Mon Nov 21 13:42:58 2022
22, 26, 24, Mon Nov 21 13:43:58 2022
27, 26, 25, Mon Nov 21 13:44:58 2022
21, 27, 26, Mon Nov 21 13:45:58 2022
28, 28, 29, Mon Nov 21 13:46:58 2022
24, 27, 26, Mon Nov 21 13:47:58 2022
26, 24, 24, Mon Nov 21 13:48:58 2022
29, 23, 24, Mon Nov 21 13:49:58 2022
28, 23, 28, Mon Nov 21 13:50:58 2022
18, 18, 17, Mon Nov 21 13:51:58 2022
21, 22, 21, Mon Nov 21 13:52:58 2022
30, 30, 31, Mon Nov 21 13:53:58 2022
26, 26, 29, Mon Nov 21 13:54:58 2022
20, 18, 23, Mon Nov 21 13:55:58 2022
23, 25, 18, Mon Nov 21 13:56:58 2022
32, 34, 32, Mon Nov 21 13:57:58 2022
29, 30, 30, Mon Nov 21 13:58:58 2022
24, 23, 24, Mon Nov 21 13:59:58 2022
23, 20, 19, Mon Nov 21 14:00:58 2022
