Chan_0_1,Chan_0_2,Chan_1_2,timestamp
58, 38, 51, Fri Nov 17 16:00:30 2023
40, 33, 60, Fri Nov 17 16:01:30 2023
43, 35, 63, Fri Nov 17 16:02:30 2023
35, 28, 55, Fri Nov 17 16:03:30 2023
49, 30, 55, Fri Nov 17 16:04:30 2023
31, 18, 44, Fri Nov 17 16:05:30 2023
35, 31, 58, Fri Nov 17 16:06:30 2023
29, 19, 46, Fri Nov 17 16:07:30 2023
21, 15, 40, Fri Nov 17 16:08:30 2023
46, 27, 56, Fri Nov 17 16:09:30 2023
26, 19, 46, Fri Nov 17 16:10:30 2023
20, 14, 39, Fri Nov 17 16:11:30 2023
30, 20, 45, Fri Nov 17 16:12:30 2023
28, 18, 46, Fri Nov 17 16:13:30 2023
34, 22, 57, Fri Nov 17 16:14:30 2023
33, 25, 47, Fri Nov 17 16:15:30 2023
34, 22, 45, Fri Nov 17 16:16:30 2023
47, 38, 61, Fri Nov 17 16:17:30 2023
31, 22, 55, Fri Nov 17 16:18:30 2023
34, 31, 61, Fri Nov 17 16:19:30 2023
20, 12, 43, Fri Nov 17 16:20:30 2023
38, 28, 53, Fri Nov 17 16:21:30 2023
31, 19, 46, Fri Nov 17 16:22:30 2023
34, 25, 57, Fri Nov 17 16:23:30 2023
27, 22, 51, Fri Nov 17 16:24:30 2023
26, 20, 40, Fri Nov 17 16:25:30 2023
25, 18, 41, Fri Nov 17 16:26:30 2023
16, 13, 46, Fri Nov 17 16:27:30 2023
28, 19, 41, Fri Nov 17 16:28:30 2023
40, 28, 65, Fri Nov 17 16:29:30 2023
27, 20, 44, Fri Nov 17 16:30:30 2023
21, 15, 46, Fri Nov 17 16:31:30 2023
36, 25, 52, Fri Nov 17 16:32:30 2023
45, 37, 274, Fri Nov 17 16:33:44 2023
66, 47, 63, Fri Nov 17 16:34:44 2023
34, 23, 44, Fri Nov 17 16:35:44 2023
24, 13, 21, Fri Nov 17 16:36:44 2023
32, 13, 22, Fri Nov 17 16:37:44 2023
26, 5, 13, Fri Nov 17 16:38:44 2023
26, 12, 27, Fri Nov 17 16:39:44 2023
27, 16, 30, Fri Nov 17 16:40:44 2023
30, 12, 26, Fri Nov 17 16:41:44 2023
18, 8, 28, Fri Nov 17 16:42:44 2023
24, 12, 25, Fri Nov 17 16:43:44 2023
30, 18, 27, Fri Nov 17 16:44:44 2023
15, 5, 16, Fri Nov 17 16:45:44 2023
22, 8, 20, Fri Nov 17 16:46:44 2023
25, 8, 22, Fri Nov 17 16:47:44 2023
17, 5, 9, Fri Nov 17 16:48:44 2023
29, 13, 25, Fri Nov 17 16:49:44 2023
22, 12, 22, Fri Nov 17 16:50:44 2023
24, 12, 21, Fri Nov 17 16:51:44 2023
26, 7, 18, Fri Nov 17 16:52:44 2023
22, 10, 24, Fri Nov 17 16:53:44 2023
23, 8, 24, Fri Nov 17 16:54:44 2023
19, 7, 26, Fri Nov 17 16:55:44 2023
21, 12, 28, Fri Nov 17 16:56:44 2023
28, 18, 30, Fri Nov 17 16:57:44 2023
34, 24, 39, Fri Nov 17 16:58:44 2023
59, 43, 66, Fri Nov 17 16:59:44 2023
67, 47, 69, Fri Nov 17 17:00:44 2023
60, 39, 62, Fri Nov 17 17:01:44 2023
67, 49, 63, Fri Nov 17 17:02:44 2023
56, 39, 64, Fri Nov 17 17:03:44 2023
51, 34, 54, Fri Nov 17 17:04:44 2023
63, 38, 59, Fri Nov 17 17:05:44 2023
69, 52, 70, Fri Nov 17 17:06:44 2023
47, 35, 52, Fri Nov 17 17:07:44 2023
66, 51, 75, Fri Nov 17 17:08:44 2023
51, 41, 59, Fri Nov 17 17:09:44 2023
56, 41, 53, Fri Nov 17 17:10:44 2023
64, 46, 64, Fri Nov 17 17:11:44 2023
69, 51, 78, Fri Nov 17 17:12:44 2023
66, 42, 58, Fri Nov 17 17:13:44 2023
54, 44, 63, Fri Nov 17 17:14:44 2023
60, 42, 60, Fri Nov 17 17:15:44 2023
58, 43, 64, Fri Nov 17 17:16:44 2023
62, 43, 61, Fri Nov 17 17:17:44 2023
61, 51, 71, Fri Nov 17 17:18:44 2023
47, 30, 50, Fri Nov 17 17:19:44 2023
69, 51, 72, Fri Nov 17 17:20:44 2023
57, 39, 67, Fri Nov 17 17:21:44 2023
52, 33, 51, Fri Nov 17 17:22:44 2023
67, 47, 66, Fri Nov 17 17:23:44 2023
60, 43, 66, Fri Nov 17 17:24:44 2023
52, 40, 59, Fri Nov 17 17:25:44 2023
62, 41, 59, Fri Nov 17 17:26:44 2023
58, 36, 63, Fri Nov 17 17:27:44 2023
62, 39, 55, Fri Nov 17 17:28:44 2023
61, 41, 60, Fri Nov 17 17:29:44 2023
60, 45, 68, Fri Nov 17 17:30:44 2023
48, 37, 54, Fri Nov 17 17:31:44 2023
65, 43, 65, Fri Nov 17 17:32:44 2023
51, 37, 60, Fri Nov 17 17:33:44 2023
55, 38, 50, Fri Nov 17 17:34:44 2023
54, 39, 55, Fri Nov 17 17:35:44 2023
57, 39, 53, Fri Nov 17 17:36:44 2023
60, 35, 46, Fri Nov 17 17:37:44 2023
55, 38, 58, Fri Nov 17 17:38:44 2023
56, 38, 55, Fri Nov 17 17:39:44 2023
65, 41, 56, Fri Nov 17 17:40:44 2023
51, 35, 46, Fri Nov 17 17:41:44 2023
69, 55, 76, Fri Nov 17 17:42:44 2023
59, 42, 59, Fri Nov 17 17:43:44 2023
63, 44, 63, Fri Nov 17 17:44:44 2023
61, 43, 70, Fri Nov 17 17:45:44 2023
63, 49, 67, Fri Nov 17 17:46:44 2023
64, 44, 62, Fri Nov 17 17:47:44 2023
75, 60, 80, Fri Nov 17 17:48:44 2023
72, 55, 85, Fri Nov 17 17:49:44 2023
62, 45, 63, Fri Nov 17 17:50:44 2023
59, 47, 66, Fri Nov 17 17:51:44 2023
67, 51, 67, Fri Nov 17 17:52:44 2023
74, 53, 78, Fri Nov 17 17:53:44 2023
72, 52, 71, Fri Nov 17 17:54:44 2023
67, 48, 72, Fri Nov 17 17:55:44 2023
43, 31, 53, Fri Nov 17 17:56:44 2023
42, 21, 36, Fri Nov 17 17:57:44 2023
28, 10, 23, Fri Nov 17 17:58:44 2023
31, 8, 31, Fri Nov 17 17:59:44 2023
27, 17, 25, Fri Nov 17 18:00:44 2023
36, 17, 29, Fri Nov 17 18:01:44 2023
17, 9, 32, Fri Nov 17 18:02:44 2023
23, 6, 23, Fri Nov 17 18:03:44 2023
25, 9, 25, Fri Nov 17 18:04:44 2023
38, 17, 44, Fri Nov 17 18:05:44 2023
29, 17, 38, Fri Nov 17 18:06:44 2023
25, 11, 25, Fri Nov 17 18:07:44 2023
27, 14, 32, Fri Nov 17 18:08:44 2023
31, 11, 31, Fri Nov 17 18:09:44 2023
26, 9, 18, Fri Nov 17 18:10:44 2023
18, 8, 23, Fri Nov 17 18:11:44 2023
33, 15, 36, Fri Nov 17 18:12:44 2023
46, 28, 33, Fri Nov 17 18:13:44 2023
37, 23, 40, Fri Nov 17 18:14:44 2023
54, 35, 48, Fri Nov 17 18:15:44 2023
38, 25, 38, Fri Nov 17 18:16:44 2023
38, 19, 28, Fri Nov 17 18:17:44 2023
39, 26, 42, Fri Nov 17 18:18:44 2023
42, 29, 38, Fri Nov 17 18:19:44 2023
56, 40, 52, Fri Nov 17 18:20:44 2023
42, 24, 44, Fri Nov 17 18:21:44 2023
38, 25, 47, Fri Nov 17 18:22:44 2023
45, 24, 36, Fri Nov 17 18:23:44 2023
37, 22, 38, Fri Nov 17 18:24:44 2023
39, 26, 42, Fri Nov 17 18:25:44 2023
53, 34, 49, Fri Nov 17 18:26:44 2023
55, 40, 54, Fri Nov 17 18:27:44 2023
31, 23, 42, Fri Nov 17 18:28:44 2023
42, 28, 44, Fri Nov 17 18:29:44 2023
46, 30, 38, Fri Nov 17 18:30:44 2023
41, 23, 31, Fri Nov 17 18:31:44 2023
40, 25, 41, Fri Nov 17 18:32:44 2023
55, 35, 57, Fri Nov 17 18:33:44 2023
43, 27, 55, Fri Nov 17 18:34:44 2023
45, 28, 49, Fri Nov 17 18:35:44 2023
44, 22, 43, Fri Nov 17 18:36:44 2023
50, 36, 65, Fri Nov 17 18:37:44 2023
34, 20, 34, Fri Nov 17 18:38:44 2023
41, 23, 37, Fri Nov 17 18:39:44 2023
39, 27, 43, Fri Nov 17 18:40:44 2023
55, 31, 47, Fri Nov 17 18:41:44 2023
42, 21, 34, Fri Nov 17 18:42:44 2023
54, 31, 46, Fri Nov 17 18:43:44 2023
43, 26, 40, Fri Nov 17 18:44:44 2023
36, 26, 39, Fri Nov 17 18:45:44 2023
46, 23, 44, Fri Nov 17 18:46:44 2023
52, 36, 56, Fri Nov 17 18:47:44 2023
49, 36, 47, Fri Nov 17 18:48:44 2023
51, 34, 56, Fri Nov 17 18:49:44 2023
47, 32, 51, Fri Nov 17 18:50:44 2023
35, 15, 23, Fri Nov 17 18:51:44 2023
