Chan_0_1,Chan_0_2,Chan_1_2,timestamp
66, 45, 64, Sat Nov 18 15:00:07 2023
60, 47, 68, Sat Nov 18 15:01:07 2023
61, 43, 65, Sat Nov 18 15:02:07 2023
59, 41, 61, Sat Nov 18 15:03:07 2023
68, 49, 62, Sat Nov 18 15:04:07 2023
72, 51, 70, Sat Nov 18 15:05:07 2023
53, 35, 59, Sat Nov 18 15:06:07 2023
53, 32, 48, Sat Nov 18 15:07:07 2023
63, 41, 64, Sat Nov 18 15:08:07 2023
57, 36, 67, Sat Nov 18 15:09:07 2023
60, 51, 72, Sat Nov 18 15:10:07 2023
66, 44, 65, Sat Nov 18 15:11:07 2023
67, 45, 68, Sat Nov 18 15:12:07 2023
68, 55, 79, Sat Nov 18 15:13:07 2023
78, 51, 75, Sat Nov 18 15:14:07 2023
67, 54, 73, Sat Nov 18 15:15:07 2023
70, 57, 76, Sat Nov 18 15:16:07 2023
57, 38, 59, Sat Nov 18 15:17:07 2023
69, 45, 66, Sat Nov 18 15:18:07 2023
67, 50, 64, Sat Nov 18 15:19:07 2023
64, 44, 59, Sat Nov 18 15:20:07 2023
60, 45, 66, Sat Nov 18 15:21:07 2023
61, 46, 79, Sat Nov 18 15:22:07 2023
75, 57, 82, Sat Nov 18 15:23:07 2023
58, 37, 63, Sat Nov 18 15:24:07 2023
67, 49, 69, Sat Nov 18 15:25:07 2023
57, 39, 68, Sat Nov 18 15:26:07 2023
56, 41, 70, Sat Nov 18 15:27:07 2023
66, 48, 60, Sat Nov 18 15:28:07 2023
62, 49, 71, Sat Nov 18 15:29:07 2023
66, 51, 76, Sat Nov 18 15:30:07 2023
64, 40, 66, Sat Nov 18 15:31:07 2023
46, 30, 49, Sat Nov 18 15:32:07 2023
67, 39, 59, Sat Nov 18 15:33:07 2023
74, 57, 78, Sat Nov 18 15:34:07 2023
56, 45, 65, Sat Nov 18 15:35:07 2023
79, 59, 73, Sat Nov 18 15:36:07 2023
51, 37, 59, Sat Nov 18 15:37:07 2023
62, 43, 65, Sat Nov 18 15:38:07 2023
59, 49, 73, Sat Nov 18 15:39:07 2023
66, 50, 66, Sat Nov 18 15:40:07 2023
71, 58, 78, Sat Nov 18 15:41:07 2023
72, 56, 78, Sat Nov 18 15:42:07 2023
83, 61, 86, Sat Nov 18 15:43:07 2023
59, 42, 58, Sat Nov 18 15:44:07 2023
70, 49, 77, Sat Nov 18 15:45:07 2023
69, 44, 57, Sat Nov 18 15:46:07 2023
55, 37, 50, Sat Nov 18 15:47:07 2023
59, 39, 53, Sat Nov 18 15:48:07 2023
54, 41, 62, Sat Nov 18 15:49:07 2023
64, 51, 67, Sat Nov 18 15:50:07 2023
68, 49, 71, Sat Nov 18 15:51:07 2023
69, 52, 76, Sat Nov 18 15:52:07 2023
66, 47, 61, Sat Nov 18 15:53:07 2023
65, 50, 63, Sat Nov 18 15:54:07 2023
64, 45, 62, Sat Nov 18 15:55:07 2023
61, 42, 57, Sat Nov 18 15:56:07 2023
73, 46, 61, Sat Nov 18 15:57:07 2023
69, 54, 77, Sat Nov 18 15:58:07 2023
69, 52, 75, Sat Nov 18 15:59:07 2023
50, 41, 56, Sat Nov 18 16:00:07 2023
67, 51, 70, Sat Nov 18 16:01:07 2023
73, 54, 76, Sat Nov 18 16:02:07 2023
62, 45, 64, Sat Nov 18 16:03:07 2023
60, 45, 64, Sat Nov 18 16:04:07 2023
65, 46, 70, Sat Nov 18 16:05:07 2023
64, 46, 64, Sat Nov 18 16:06:07 2023
51, 38, 62, Sat Nov 18 16:07:07 2023
65, 38, 61, Sat Nov 18 16:08:07 2023
50, 38, 56, Sat Nov 18 16:09:07 2023
62, 46, 59, Sat Nov 18 16:10:07 2023
66, 53, 62, Sat Nov 18 16:11:07 2023
57, 33, 51, Sat Nov 18 16:12:07 2023
75, 46, 63, Sat Nov 18 16:13:07 2023
63, 45, 59, Sat Nov 18 16:14:07 2023
61, 44, 63, Sat Nov 18 16:15:07 2023
60, 40, 62, Sat Nov 18 16:16:07 2023
70, 48, 65, Sat Nov 18 16:17:07 2023
71, 53, 63, Sat Nov 18 16:18:07 2023
54, 41, 60, Sat Nov 18 16:19:07 2023
54, 41, 53, Sat Nov 18 16:20:07 2023
82, 62, 71, Sat Nov 18 16:21:07 2023
61, 39, 62, Sat Nov 18 16:22:07 2023
74, 49, 66, Sat Nov 18 16:23:07 2023
53, 38, 58, Sat Nov 18 16:24:07 2023
55, 38, 55, Sat Nov 18 16:25:07 2023
48, 34, 52, Sat Nov 18 16:26:07 2023
48, 37, 66, Sat Nov 18 16:27:07 2023
68, 52, 68, Sat Nov 18 16:28:07 2023
54, 41, 58, Sat Nov 18 16:29:07 2023
54, 40, 62, Sat Nov 18 16:30:07 2023
53, 36, 60, Sat Nov 18 16:31:07 2023
67, 55, 78, Sat Nov 18 16:32:07 2023
54, 42, 67, Sat Nov 18 16:33:07 2023
69, 49, 66, Sat Nov 18 16:34:07 2023
76, 54, 74, Sat Nov 18 16:35:07 2023
55, 41, 59, Sat Nov 18 16:36:07 2023
82, 60, 82, Sat Nov 18 16:37:07 2023
58, 43, 72, Sat Nov 18 16:38:07 2023
65, 50, 77, Sat Nov 18 16:39:07 2023
66, 41, 59, Sat Nov 18 16:40:07 2023
68, 49, 60, Sat Nov 18 16:41:07 2023
56, 38, 60, Sat Nov 18 16:42:07 2023
61, 43, 78, Sat Nov 18 16:43:07 2023
60, 47, 64, Sat Nov 18 16:44:07 2023
60, 44, 65, Sat Nov 18 16:45:07 2023
