Chan_0_1,Chan_0_2,Chan_1_2,timestamp
54, 40, 50, Wed Jun 28 07:08:18 2023
57, 41, 54, Wed Jun 28 07:09:18 2023
44, 35, 45, Wed Jun 28 07:10:18 2023
56, 43, 51, Wed Jun 28 07:11:18 2023
54, 48, 63, Wed Jun 28 07:12:18 2023
45, 37, 53, Wed Jun 28 07:13:18 2023
66, 58, 66, Wed Jun 28 07:14:18 2023
58, 44, 55, Wed Jun 28 07:15:18 2023
49, 37, 49, Wed Jun 28 07:16:18 2023
51, 33, 37, Wed Jun 28 07:17:18 2023
55, 36, 46, Wed Jun 28 07:18:18 2023
45, 32, 46, Wed Jun 28 07:19:18 2023
52, 40, 58, Wed Jun 28 07:20:18 2023
46, 32, 43, Wed Jun 28 07:21:18 2023
51, 37, 49, Wed Jun 28 07:22:18 2023
54, 39, 51, Wed Jun 28 07:23:18 2023
57, 47, 59, Wed Jun 28 07:24:18 2023
58, 44, 62, Wed Jun 28 07:25:18 2023
57, 41, 52, Wed Jun 28 07:26:18 2023
50, 33, 41, Wed Jun 28 07:27:18 2023
52, 40, 49, Wed Jun 28 07:28:18 2023
47, 37, 45, Wed Jun 28 07:29:18 2023
52, 46, 57, Wed Jun 28 07:30:18 2023
53, 43, 52, Wed Jun 28 07:31:18 2023
48, 40, 47, Wed Jun 28 07:32:18 2023
56, 40, 55, Wed Jun 28 07:33:18 2023
54, 39, 43, Wed Jun 28 07:34:18 2023
56, 44, 52, Wed Jun 28 07:35:18 2023
58, 42, 53, Wed Jun 28 07:36:18 2023
58, 43, 57, Wed Jun 28 07:37:18 2023
43, 31, 43, Wed Jun 28 07:38:18 2023
47, 34, 44, Wed Jun 28 07:39:18 2023
51, 40, 46, Wed Jun 28 07:40:18 2023
48, 27, 49, Wed Jun 28 07:41:18 2023
62, 45, 56, Wed Jun 28 07:42:18 2023
38, 36, 66, Wed Jun 28 07:43:18 2023
45, 34, 50, Wed Jun 28 07:44:18 2023
54, 44, 56, Wed Jun 28 07:45:18 2023
48, 40, 55, Wed Jun 28 07:46:18 2023
47, 34, 47, Wed Jun 28 07:47:18 2023
56, 43, 59, Wed Jun 28 07:48:18 2023
54, 42, 51, Wed Jun 28 07:49:18 2023
51, 40, 50, Wed Jun 28 07:50:18 2023
46, 42, 50, Wed Jun 28 07:51:18 2023
57, 41, 60, Wed Jun 28 07:52:18 2023
38, 32, 47, Wed Jun 28 07:53:18 2023
38, 29, 40, Wed Jun 28 07:54:18 2023
55, 47, 61, Wed Jun 28 07:55:18 2023
42, 35, 50, Wed Jun 28 07:56:18 2023
55, 47, 54, Wed Jun 28 07:57:18 2023
52, 38, 46, Wed Jun 28 07:58:18 2023
56, 40, 57, Wed Jun 28 07:59:18 2023
47, 36, 91, Wed Jun 28 08:00:18 2023
55, 36, 128, Wed Jun 28 08:01:18 2023
51, 47, 208, Wed Jun 28 08:02:18 2023
52, 39, 200, Wed Jun 28 08:03:18 2023
68, 49, 69, Wed Jun 28 08:04:18 2023
45, 34, 61, Wed Jun 28 08:05:18 2023
62, 43, 57, Wed Jun 28 08:06:18 2023
52, 40, 56, Wed Jun 28 08:07:18 2023
58, 45, 61, Wed Jun 28 08:08:18 2023
50, 36, 51, Wed Jun 28 08:09:18 2023
45, 40, 63, Wed Jun 28 08:10:18 2023
42, 23, 45, Wed Jun 28 08:11:18 2023
50, 35, 50, Wed Jun 28 08:12:18 2023
46, 26, 49, Wed Jun 28 08:13:18 2023
57, 39, 58, Wed Jun 28 08:14:18 2023
43, 28, 44, Wed Jun 28 08:15:18 2023
52, 35, 47, Wed Jun 28 08:16:18 2023
50, 38, 77, Wed Jun 28 08:17:18 2023
44, 35, 114, Wed Jun 28 08:18:18 2023
52, 38, 60, Wed Jun 28 08:19:18 2023
74, 45, 391, Wed Jun 28 08:20:18 2023
56, 41, 544, Wed Jun 28 08:21:18 2023
54, 46, 232, Wed Jun 28 08:22:18 2023
46, 39, 139, Wed Jun 28 08:23:18 2023
54, 37, 56, Wed Jun 28 08:24:18 2023
59, 35, 48, Wed Jun 28 08:25:18 2023
65, 45, 58, Wed Jun 28 08:26:18 2023
44, 34, 42, Wed Jun 28 08:27:18 2023
47, 42, 43, Wed Jun 28 08:28:18 2023
59, 52, 60, Wed Jun 28 08:29:18 2023
63, 49, 64, Wed Jun 28 08:30:18 2023
50, 37, 55, Wed Jun 28 08:31:18 2023
45, 33, 50, Wed Jun 28 08:32:18 2023
62, 44, 62, Wed Jun 28 08:33:18 2023
53, 41, 50, Wed Jun 28 08:34:18 2023
54, 41, 62, Wed Jun 28 08:35:18 2023
49, 34, 53, Wed Jun 28 08:36:18 2023
63, 50, 72, Wed Jun 28 08:37:18 2023
64, 48, 58, Wed Jun 28 08:38:18 2023
49, 38, 50, Wed Jun 28 08:39:18 2023
54, 44, 62, Wed Jun 28 08:40:18 2023
53, 36, 51, Wed Jun 28 08:41:18 2023
70, 57, 71, Wed Jun 28 08:42:18 2023
56, 42, 58, Wed Jun 28 08:43:18 2023
46, 33, 50, Wed Jun 28 08:44:18 2023
57, 44, 55, Wed Jun 28 08:45:18 2023
53, 39, 44, Wed Jun 28 08:46:18 2023
69, 56, 71, Wed Jun 28 08:47:18 2023
49, 39, 48, Wed Jun 28 08:48:18 2023
47, 35, 49, Wed Jun 28 08:49:18 2023
49, 35, 42, Wed Jun 28 08:50:18 2023
57, 40, 55, Wed Jun 28 08:51:18 2023
52, 36, 52, Wed Jun 28 08:52:18 2023
47, 32, 44, Wed Jun 28 08:53:18 2023
45, 33, 43, Wed Jun 28 08:54:18 2023
